Year,Month,Day,Hour,LMP
2024,6,3,13,-11.76032
2024,6,3,14,-9.386796666666667
2024,6,3,15,-9.091206666666666
2024,6,3,16,-3.23161
2024,6,3,17,1.3059300000000003
2024,6,3,18,13.63597
2024,6,3,19,31.61220666666667
2024,6,3,20,46.18169
2024,6,3,21,44.744386666666664
2024,6,3,22,33.65494666666667
2024,6,3,23,31.611283333333333
2024,6,3,24,30.955443333333335
2024,6,4,1,25.325496666666666
2024,6,4,2,24.773826666666668
2024,6,4,3,24.600350000000002
2024,6,4,4,24.85479666666667
2024,6,4,5,24.855363333333333
2024,6,4,6,28.042696666666668
2024,6,4,7,26.923483333333333
2024,6,4,8,17.49923
2024,6,4,9,10.296850000000001
2024,6,4,10,6.146443333333333
2024,6,4,11,4.346823333333333
2024,6,4,12,0.8896166666666666
2024,6,4,13,-5.947093333333332
2024,6,4,14,-7.074746666666666
2024,6,4,15,-2.5899233333333336
2024,6,4,16,0.8492899999999999
2024,6,4,17,5.88401
2024,6,4,18,17.88135
2024,6,4,19,32.97008666666667
2024,6,4,20,52.07125666666667
2024,6,4,21,51.604836666666664
2024,6,4,22,46.37595666666667
2024,6,4,23,33.15058
2024,6,4,24,32.01024333333333
2024,6,5,1,30.50513666666667
2024,6,5,2,30.004876666666664
2024,6,5,3,30.145786666666666
2024,6,5,4,29.435460000000003
2024,6,5,5,30.464769999999998
2024,6,5,6,32.93955333333333
2024,6,5,7,28.955416666666668
2024,6,5,8,15.443086666666666
2024,6,5,9,12.410953333333334
2024,6,5,10,11.61385
2024,6,5,11,9.8913
2024,6,5,12,5.529303333333334
2024,6,5,13,3.7413566666666664
2024,6,5,14,-2.8313900000000003
2024,6,5,15,-3.864896666666667
2024,6,5,16,1.8757333333333335
2024,6,5,17,-13.031666666666666
2024,6,5,18,10.048833333333333
2024,6,5,19,34.395450000000004
2024,6,5,20,57.67731
2024,6,5,21,57.07268
2024,6,5,22,45.75412333333333
2024,6,5,23,33.03864
2024,6,5,24,33.56489
2024,6,6,1,29.445809999999998
2024,6,6,2,29.66094
2024,6,6,3,29.15833333333333
2024,6,6,4,28.615016666666666
2024,6,6,5,29.029246666666666
2024,6,6,6,32.72109666666667
2024,6,6,7,29.671473333333335
2024,6,6,8,13.474586666666667
2024,6,6,9,11.95211
2024,6,6,10,11.970733333333333
2024,6,6,11,12.355116666666667
2024,6,6,12,12.799059999999999
2024,6,6,13,10.643953333333334
2024,6,6,14,12.125633333333333
2024,6,6,15,10.752216666666667
2024,6,6,16,13.341776666666666
2024,6,6,17,20.33118
2024,6,6,18,29.25921333333333
2024,6,6,19,39.15792666666667
2024,6,6,20,54.00746999999999
2024,6,6,21,50.53179
2024,6,6,22,39.43078333333333
2024,6,6,23,30.158236666666667
2024,6,6,24,28.86548666666667
2024,6,7,1,27.99775
2024,6,7,2,27.501459999999998
2024,6,7,3,27.84632333333333
2024,6,7,4,27.50856333333333
2024,6,7,5,28.984483333333333
2024,6,7,6,31.312849999999997
2024,6,7,7,28.6455
2024,6,7,8,11.61871
2024,6,7,9,10.2019
2024,6,7,10,10.439293333333334
2024,6,7,11,8.84042
2024,6,7,12,7.95186
2024,6,7,13,6.09909
2024,6,7,14,7.286053333333332
2024,6,7,15,8.155676666666666
2024,6,7,16,12.619733333333334
2024,6,7,17,17.71681
2024,6,7,18,26.307873333333333
2024,6,7,19,33.84758
