OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-03-01,19,0,2024-03-02T02:00:00-00:00,2024-03-02T03:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,9
2024-03-01,10,0,2024-03-01T17:00:00-00:00,2024-03-01T18:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,10286.97,DAM,9
2024-03-01,18,0,2024-03-02T01:00:00-00:00,2024-03-02T02:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,421.17,DAM,9
2024-03-01,1,0,2024-03-01T08:00:00-00:00,2024-03-01T09:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,9
2024-03-01,17,0,2024-03-02T00:00:00-00:00,2024-03-02T01:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,4584.05,DAM,9
2024-03-01,6,0,2024-03-01T13:00:00-00:00,2024-03-01T14:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0.04,DAM,9
2024-03-01,16,0,2024-03-01T23:00:00-00:00,2024-03-02T00:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,8704.84,DAM,9
2024-03-01,11,0,2024-03-01T18:00:00-00:00,2024-03-01T19:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,10464.23,DAM,9
2024-03-01,15,0,2024-03-01T22:00:00-00:00,2024-03-01T23:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,9842.87,DAM,9
2024-03-01,5,0,2024-03-01T12:00:00-00:00,2024-03-01T13:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,9
2024-03-01,14,0,2024-03-01T21:00:00-00:00,2024-03-01T22:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,10250.2,DAM,9
