INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-02-01T08:00:00-00:00,2025-02-01T09:00:00-00:00,1,2025-02-01,1,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1182.7,DAM,35
2025-02-02T01:00:00-00:00,2025-02-02T02:00:00-00:00,1,2025-02-01,18,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1505.06,DAM,35
2025-02-01T12:00:00-00:00,2025-02-01T13:00:00-00:00,1,2025-02-01,5,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1180.5,DAM,35
2025-02-01T13:00:00-00:00,2025-02-01T14:00:00-00:00,1,2025-02-01,6,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1237.91,DAM,35
2025-02-01T15:00:00-00:00,2025-02-01T16:00:00-00:00,1,2025-02-01,8,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1390.92,DAM,35
2025-02-01T23:00:00-00:00,2025-02-02T00:00:00-00:00,1,2025-02-01,16,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1368.14,DAM,35
2025-02-02T02:00:00-00:00,2025-02-02T03:00:00-00:00,1,2025-02-01,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1501.6,DAM,35
2025-02-01T14:00:00-00:00,2025-02-01T15:00:00-00:00,1,2025-02-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1316.78,DAM,35
2025-02-01T18:00:00-00:00,2025-02-01T19:00:00-00:00,1,2025-02-01,11,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1449.11,DAM,35
2025-02-02T03:00:00-00:00,2025-02-02T04:00:00-00:00,1,2025-02-01,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1485.52,DAM,35
2025-02-01T10:00:00-00:00,2025-02-01T11:00:00-00:00,1,2025-02-01,3,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1149.75,DAM,35
2025-02-02T07:00:00-00:00,2025-02-02T08:00:00-00:00,1,2025-02-01,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1311.72,DAM,35
2025-02-01T16:00:00-00:00,2025-02-01T17:00:00-00:00,1,2025-02-01,9,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1439.72,DAM,35
2025-02-02T04:00:00-00:00,2025-02-02T05:00:00-00:00,1,2025-02-01,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1462.34,DAM,35
2025-02-01T17:00:00-00:00,2025-02-01T18:00:00-00:00,1,2025-02-01,10,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T12:00:00-00:00,2025-02-01T13:00:00-00:00,1,2025-02-01,5,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-02T05:00:00-00:00,2025-02-02T06:00:00-00:00,1,2025-02-01,22,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T22:00:00-00:00,2025-02-01T23:00:00-00:00,1,2025-02-01,15,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T20:00:00-00:00,2025-02-01T21:00:00-00:00,1,2025-02-01,13,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T19:00:00-00:00,2025-02-01T20:00:00-00:00,1,2025-02-01,12,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T14:00:00-00:00,2025-02-01T15:00:00-00:00,1,2025-02-01,7,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T13:00:00-00:00,2025-02-01T14:00:00-00:00,1,2025-02-01,6,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T11:00:00-00:00,2025-02-01T12:00:00-00:00,1,2025-02-01,4,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-02T07:00:00-00:00,2025-02-02T08:00:00-00:00,1,2025-02-01,24,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-02T01:00:00-00:00,2025-02-02T02:00:00-00:00,1,2025-02-01,18,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T18:00:00-00:00,2025-02-01T19:00:00-00:00,1,2025-02-01,11,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T15:00:00-00:00,2025-02-01T16:00:00-00:00,1,2025-02-01,8,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T21:00:00-00:00,2025-02-01T22:00:00-00:00,1,2025-02-01,14,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-02T04:00:00-00:00,2025-02-02T05:00:00-00:00,1,2025-02-01,21,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T23:00:00-00:00,2025-02-02T00:00:00-00:00,1,2025-02-01,16,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-02T06:00:00-00:00,2025-02-02T07:00:00-00:00,1,2025-02-01,23,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T10:00:00-00:00,2025-02-01T11:00:00-00:00,1,2025-02-01,3,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-02T02:00:00-00:00,2025-02-02T03:00:00-00:00,1,2025-02-01,19,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T08:00:00-00:00,2025-02-01T09:00:00-00:00,1,2025-02-01,1,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
2025-02-01T09:00:00-00:00,2025-02-01T10:00:00-00:00,1,2025-02-01,2,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,36
