Year,Month,Day,Hour,$/MWh
2023,12,13,14,35.69507
2023,12,13,15,38.62219
2023,12,13,16,57.03003
2023,12,13,17,75.68386
2023,12,13,18,79.33152
2023,12,13,19,75.67582
2023,12,13,20,75.45656
2023,12,13,21,75.10965
2023,12,13,22,73.78762
2023,12,13,23,73.13928
2023,12,13,24,69.84378
2023,12,14,1,62.11377
2023,12,14,2,60.14229
2023,12,14,3,59.8663
2023,12,14,4,59.67157
2023,12,14,5,63.40142
2023,12,14,6,72.05748
2023,12,14,7,77.52472
2023,12,14,8,73.06892
2023,12,14,9,52.80688
2023,12,14,10,46.60458
2023,12,14,11,44.70849
2023,12,14,12,43.54006
2023,12,14,13,42.31277
2023,12,14,14,44.00937
2023,12,14,15,45.66823
2023,12,14,16,63.44133
2023,12,14,17,76.53811
2023,12,14,18,78.1208
2023,12,14,19,76.45295
2023,12,14,20,75.92192
2023,12,14,21,75.66335
2023,12,14,22,74.69941
2023,12,14,23,74.31892
2023,12,14,24,69.99896
2023,12,15,1,59.67311
2023,12,15,2,58.10013
2023,12,15,3,57.24934
2023,12,15,4,57.24934
2023,12,15,5,59.14
2023,12,15,6,66.02356
2023,12,15,7,75.14239
2023,12,15,8,68.62072
2023,12,15,9,47.38174
2023,12,15,10,43.77405
2023,12,15,11,41.45849
2023,12,15,12,40.68907
2023,12,15,13,40.5431
2023,12,15,14,40.85861
2023,12,15,15,44.6931
2023,12,15,16,59.09182
2023,12,15,17,71.58557
2023,12,15,18,74.39432
2023,12,15,19,71.44045
2023,12,15,20,71.05156
2023,12,15,21,70.79789
2023,12,15,22,70.52238
2023,12,15,23,68.22607
2023,12,15,24,66.42699
2023,12,16,1,60.23162
2023,12,16,2,57.70294
2023,12,16,3,58.75814
2023,12,16,4,57.70624
2023,12,16,5,57.05769
2023,12,16,6,58.81776
2023,12,16,7,61.03359
2023,12,16,8,56.11835
2023,12,16,9,42.76076
2023,12,16,10,35.16481
2023,12,16,11,33.20879
2023,12,16,12,29.29111
2023,12,16,13,26.58138
2023,12,16,14,27.28632
2023,12,16,15,33.45341
2023,12,16,16,44.38331
2023,12,16,17,62.41716
2023,12,16,18,63.34519
2023,12,16,19,61.09277
2023,12,16,20,60.85668
2023,12,16,21,60.88831
2023,12,16,22,60.81877
2023,12,16,23,60.50806
2023,12,16,24,57.00781
2023,12,17,1,53.98432
2023,12,17,2,53.1107
2023,12,17,3,48.94545
2023,12,17,4,49.22836
2023,12,17,5,51.4245
2023,12,17,6,50.1845
2023,12,17,7,54.97848
2023,12,17,8,48.55531
2023,12,17,9,42.90515
2023,12,17,10,35.86014
2023,12,17,11,35.54795
2023,12,17,12,34.46418
2023,12,17,13,33.74761
2023,12,17,14,35.374
2023,12,17,15,40.42864
2023,12,17,16,59.1904
2023,12,17,17,64.12581
2023,12,17,18,64.42935
